DEPT,Vp,Vs,DEN,phi,Kbulk_GPa,K_bg_depth,phi_bg_depth
1985.01,3635.6913240810877,1825.4634179646443,2.6142,0.11064848484848487,22.9400297645285,22.432883122636888,0.11354242424242415
1985.1624,3614.655006795267,1829.3429489872594,2.6134,0.10689090909090908,22.48500536495402,22.432883122636888,0.11354242424242415
1985.3148,3533.106061572024,1790.098079520761,2.6137,0.10624999999999993,21.459096263710354,22.432883122636888,0.11354242424242415
1985.4672,3415.416887040241,1748.9589734850247,2.6056,0.11570454545454545,19.767634166826408,22.432883122636888,0.11354242424242415
1985.6196,3359.7587322863114,1703.1177447770776,2.603,0.12039242424242415,19.31555803560147,22.441631732486744,0.11346060606060608
1985.772,3405.1300384306014,1665.4709299371132,2.6019,0.12232575757575752,20.545953707176764,22.46006251917288,0.1131606060606061
1985.9244,3507.100497759736,1657.6532676653194,2.6075,0.12122878787878788,22.518373720862275,22.46243175198859,0.1131606060606061
1986.0768,3488.3681006591055,1641.2359454364434,2.6017,0.12253636363636357,22.315226920459974,22.46869038547642,0.11253181818181812
1986.2292,3355.150618523338,1630.6860009244836,2.5997,0.12434242424242425,20.047638270588052,22.48500536495402,0.11253181818181812
1986.3816,3290.858797540926,1619.6139069997291,2.5958,0.13062424242424236,19.032974984464076,22.518373720862275,0.11226515151515151
1986.534,3303.757048123427,1612.6463643236914,2.5984,0.13058636363636367,19.351080528481386,22.61704560271312,0.11144242424242419
1986.6864,3349.6088276698792,1619.4856857762084,2.6005,0.12675000000000003,20.083403486603938,22.61704560271312,0.11124090909090904
1986.8388,3371.4315421312804,1607.870547430335,2.6006,0.12216969696969694,20.59559138746455,22.61704560271312,0.11069545454545451
1986.9912,3355.915296169434,1607.0092598109024,2.5992,0.12254393939393932,20.322787306655812,22.61704560271312,0.11064848484848487
1987.1436,3343.487384587708,1609.4939018240404,2.5949,0.12584696969696968,20.04546513694133,22.634831127811587,0.10974393939393942
1987.296,3342.134580127896,1623.418990699961,2.5918,0.12683636363636358,19.84250440826026,22.66134866155495,0.10920303030303033
1987.4484,3363.510763675849,1622.9124569712556,2.5954,0.12489545454545448,20.247783493717122,22.692695538917192,0.10895909090909092
1987.6008,3390.0341005398695,1634.9554329815785,2.6035,0.11814090909090909,20.6411351214688,22.722239191569034,0.10888181818181814
1987.7532,3387.6264941733493,1630.9268244656148,2.6098,0.11613181818181818,20.69427910153815,22.771904375805665,0.10846666666666661
1987.9056,3328.695583799474,1630.599635896945,2.6099,0.11675151515151509,19.6657897878624,22.771904375805665,0.10828939393939394
1988.058,3279.732800771297,1635.2185736795263,2.608,0.12222727272727267,18.755156072330248,22.771904375805665,0.10814242424242419
1988.2104,3328.2048986196905,1649.5675567728874,2.6089,0.12395454545454536,19.433305673034273,22.771904375805665,0.10814242424242419
1988.3628,3436.4222424910004,1673.6181119742764,2.605,0.12468636363636361,21.033641066106206,22.771904375805665,0.10814242424242419
1988.5152,3557.306717334168,1745.7514606636032,2.6008,0.12525909090909088,22.343213234902883,22.771904375805665,0.10814242424242419
1988.6676,3688.8623708202276,1840.693086168351,2.6007,0.11703939393939397,23.640807392608583,22.771904375805665,0.10814242424242419
1988.82,3818.328729541312,2012.3208436958832,2.6134,0.10449090909090908,23.99202438640993,22.771904375805665,0.10814242424242419
1988.9724,3904.288568939899,2097.532509001222,2.6249,0.08670606060606065,24.614419807565778,22.771904375805665,0.10814242424242419
1989.1248,3919.964812914278,2101.2835202289903,2.6254,0.08425454545454543,24.885993913365006,22.722239191569034,0.10814242424242419
1989.2772,3884.940502289158,2050.276161705442,2.6187,0.08738484848484845,24.846015023305988,22.695294113143746,0.10828939393939394
1989.4296,3828.0829066301944,1991.4071565214663,2.6096,0.09649242424242424,24.443119693910784,22.692695538917192,0.10846666666666661
1989.582,3786.725836328467,1954.357293445978,2.6073,0.10238939393939393,24.108684477229353,22.66134866155495,0.10888181818181814
1989.7344,3732.110846630815,1930.0679639745977,2.6051,0.10270606060606052,23.346302452769127,22.634831127811587,0.10895909090909092
1989.8868,3651.7907313046403,1881.9113007291792,2.6044,0.10266818181818177,22.432883122636888,22.634831127811587,0.10974393939393942
1990.0392,3564.5954277748415,1817.2224756079022,2.5983,0.10846666666666661,21.574405138125904,22.634831127811587,0.10989090909090912
1990.1916,3490.121627532571,1785.765550309316,2.592,0.12017575757575752,20.551978819202976,22.66134866155495,0.10974393939393942
1990.344,3460.5297517001786,1738.821879718936,2.5881,0.12690757575757577,20.559687277296295,22.683169860748684,0.10895909090909092
1990.4964,3459.0413416722563,1726.5150339355366,2.5929,0.1254030303030302,20.718553932842124,22.692695538917192,0.10888181818181814
1990.6488,3467.63596648407,1723.0365693030408,2.6014,0.12202727272727273,20.982959612839498,22.695294113143746,0.10846666666666661
1990.8012,3483.970079920993,1766.8715070521246,2.6083,0.12033636363636366,20.80275996972972,22.722239191569034,0.10828939393939394
1990.9536,3535.6634530950396,1825.1322143021384,2.6096,0.11419242424242423,21.031912677170645,22.722239191569034,0.10828939393939394
1991.106,3609.0054632385854,1863.999011738057,2.6063,0.11144242424242419,21.87275769622708,22.722239191569034,0.10828939393939394
1991.2584,3703.3706991448717,1910.7920885183214,2.6041,0.10895909090909092,23.03791540843152,22.695294113143746,0.10828939393939394
1991.4108,3818.1326224858954,1962.94364265152,2.6002,0.11124090909090904,24.547464754145913,22.695294113143746,0.10828939393939394
1991.5632,3911.0016167526373,2043.8173519288528,2.5964,0.1029424242424242,25.25348948551106,22.695294113143746,0.10828939393939394
1991.7156,3992.4761211155883,2163.2639735638923,2.5955,0.09676515151515151,25.177001172672224,22.695294113143746,0.10828939393939394
1991.868,3988.0828547764754,2196.408497391405,2.6006,0.09136969696969693,24.634247145379764,22.695294113143746,0.10846666666666661
1992.0204,3930.0228993460278,2186.854051168654,2.6051,0.09265606060606052,23.624711809460887,22.695294113143746,0.10888181818181814
1992.1728,3877.8724627798033,2145.235543062014,2.6031,0.09881212121212118,23.17239911609016,22.695294113143746,0.10888181818181814
1992.3252,3802.6845855285897,2087.59116088698,2.5945,0.10541818181818179,22.441631732486744,22.695294113143746,0.10888181818181814
1992.4776,3808.7335960793034,2072.6375128349846,2.594,0.10651969696969699,22.771904375805665,22.722239191569034,0.10888181818181814
1992.63,3850.6921897148113,2053.8820594615026,2.6011,0.10291818181818173,23.938586548489692,22.771904375805665,0.10846666666666661
1992.7824,3833.648821165565,2012.707527446912,2.6086,0.09999545454545451,24.24834867685099,22.722239191569034,0.10828939393939394
1992.9348,3792.936526800059,2002.3768370723517,2.6082,0.10331666666666661,23.57904130333224,22.722239191569034,0.10828939393939394
1993.0872,3747.0219289295173,1964.7492527442355,2.6065,0.10888181818181814,23.180092352523097,22.722239191569034,0.10846666666666661
1993.2396,3728.919310737159,1956.0404299695172,2.6054,0.11226515151515151,22.93632714067079,22.722239191569034,0.10846666666666661
1993.392,3730.466455175655,1960.6556617791794,2.6086,0.11069545454545451,22.931730811478193,22.722239191569034,0.10846666666666661
1993.5444,3723.389310403379,1949.8252641827721,2.6073,0.10828939393939394,22.92999512690982,22.722239191569034,0.10846666666666661
1993.6968,3713.092916251969,1955.228600735007,2.6078,0.10568787878787872,22.66134866155495,22.722239191569034,0.10846666666666661
1993.8492,3712.0528456027155,1948.5525859875545,2.6067,0.10702121212121209,22.722239191569034,22.722239191569034,0.10846666666666661
1994.0016,3756.4425207602603,1987.3987962153356,2.6052,0.10452575757575756,23.041748136509703,22.722239191569034,0.10846666666666661
1994.154,3779.5369323254567,2003.3441650629397,2.6053,0.10354545454545447,23.275009334025686,22.722239191569034,0.10846666666666661
1994.3064,3781.1920431214685,1998.2875567263227,2.6063,0.1006924242424242,23.386874758679312,22.722239191569034,0.10846666666666661
1994.4588,3767.80529050298,1985.6418808875455,2.612,0.10001515151515146,23.349517252522677,22.722239191569034,0.10846666666666661
1994.6112,3735.6832513190716,1956.800169486629,2.6154,0.0999348484848484,23.146046287739743,22.722239191569034,0.10846666666666661
1994.7636,3723.2574104793575,1950.9122819145057,2.6135,0.105310606060606,22.96717865992864,22.722239191569034,0.10846666666666661
1994.916,3743.9795997332044,1944.5534321559471,2.611,0.10641818181818173,23.43546351486961,22.722239191569034,0.10846666666666661
1995.0684,3749.893888337313,1933.5353564828943,2.6063,0.10814242424242419,23.657277913558897,22.722239191569034,0.10846666666666661
1995.2208,3730.4207983198426,1929.6476303889115,2.6065,0.10503181818181814,23.3316139185731,22.722239191569034,0.10846666666666661
1995.3732,3694.0573912052832,1904.2394943519434,2.6075,0.10647878787878788,22.975262947888236,22.722239191569034,0.10846666666666661
1995.5256,3640.9593593440536,1881.907814918565,2.6084,0.10440606060606057,22.261343782414976,22.722239191569034,0.10846666666666661
1995.678,3595.9128345066065,1848.8055551511798,2.6091,0.10799393939393931,21.84637646103149,22.722239191569034,0.10846666666666661
1995.8304,3586.300051417754,1831.0639274398866,2.6052,0.11067575757575757,21.860635921290783,22.722239191569034,0.10846666666666661
1995.9828,3591.5951018561286,1817.184556316028,2.604,0.11878939393939389,22.12534367919354,22.722239191569034,0.10846666666666661
1996.1352,3602.5856352807546,1815.0127997703842,2.6031,0.11856212121212119,22.35089681195886,22.722239191569034,0.10846666666666661
1996.2876,3615.5425626937217,1819.8296954651132,2.605,0.11883636363636361,22.550029313811265,22.722239191569034,0.10846666666666661
1996.44,3611.0749108486266,1821.7766865181354,2.6102,0.11516060606060607,22.486094162535558,22.695294113143746,0.10846666666666661
1996.5924,3621.621364714382,1837.3111602185968,2.6148,0.1129666666666667,22.527002934852565,22.69010130802114,0.10846666666666661
1996.7448,3633.918480049215,1843.3235462206728,2.6162,0.11309242424242419,22.695294113143746,22.683169860748684,0.10846666666666661
1996.8972,3627.4572809779856,1861.170595702821,2.6131,0.1115818181818181,22.315451575596203,22.678986552029976,0.10849848484848477
1997.0496,3638.7643004750207,1867.4765600444568,2.6139,0.11198939393939387,22.455093146478234,22.66134866155495,0.10888181818181814
